Step	VDW	Bond	Angle	Potential		Kinetic		Total		Temperature	Pressure
0	vdw#	bond#	angle#	25.242428800022935		0.0		25.242428800022935		0.0	preasure#
1	vdw#	bond#	angle#	25.242312336692436		3.0170361436325968E-5		25.242342507053873		3.8004512159062057E-4	preasure#
2	vdw#	bond#	angle#	25.234743774080517		0.013302670726610613		25.248046444807127		0.16756892768568613	preasure#
3	vdw#	bond#	angle#	25.21554501014696		0.0506806019501112		25.266225612097074		0.6384051968043434	preasure#
4	vdw#	bond#	angle#	25.18475186143399		0.11208862725870612		25.2968404886927		1.411939862416452	preasure#
5	vdw#	bond#	angle#	25.142421760767736		0.19740299079179924		25.339824751559537		2.486614016744686	preasure#
6	vdw#	bond#	angle#	25.08863363090485		0.3064517883166489		25.395085419221502		3.8602622443971186	preasure#
7	vdw#	bond#	angle#	25.023487710913113		0.4390153432645144		25.462503054177628		5.530117359158434	preasure#
8	vdw#	bond#	angle#	24.947105335682476		0.5948266872617357		25.541932022944213		7.4928164570659925	preasure#
9	vdw#	bond#	angle#	24.85962866906631		0.7735721441001034		25.633200813166415		9.74440827247319	preasure#
10	vdw#	bond#	angle#	24.761220391258743		0.9748920158633766		25.736112407122118		12.280361820936827	preasure#
